DeviceRecNum,DeviceNum,PrclErr,AddrAdjusted,CityBlock,Parcel,OwnerCode,Handle,Parcel9,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,DeviceType,DeviceMake,DeviceSize,DeviceDesc,FacilityName,FacContact,FacAddrNum,FacStreet,FacZIP,LastInspDate,GeoCityBLockPart,Ward10,Precinct10,InspArea10,Ward00,Precinct02,Nbrhd,CDADist,CDASubDist,PoliceDist,CensTract10,CensGroup10,CensBlock00,AsrNbrhd,NLC,Parity,FirstDate,LastDate,UpDateGeo
1,0227F06,0,0,3676,20,0,13676000020,367600020,2516, , ,ANNIE MALONE,DR, ,S,AMES DCA,6,PUMP ROOM IN BASEMENT,A. MALONE CHILDRENS HOME,,2516,ANNIE MALONE DR,63113,04/07/09 00:00:00,3676,4,1,2,4,10,57,13,34,5,1113,2,1113.2001,309,1674,E,,09/21/17 00:00:00,
2,262885,0,0,830,25,0,10830000025,83000025,1706, , ,WASHINGTON,AV, ,P,WATTS 909 RPX,2,BASEMENT SO.WALL ELECTRIC ROOM,CPI CORP.,,1706,WASHINGTON,63103,01/07/14 00:00:00,830,19,6,3,6,10,36,9,1,4,1255,1,1255.1024,262,3,E,,09/21/17 00:00:00,
3,390503,0,0,3634,170,0,13634000170,363400170,3813, , ,COTE BRILLIANTE,AV, ,P,WATTS 2" MODEL 900,2,S.E. CORNER OFFICE BASEMENT,STAR PACKING CO.,,3813,COTE BRILLIANTE,63113,12/23/13 00:00:00,3634,18,3,2,5,7,59,13,26,4,1114,2,1114.2008,309,25,O,,09/21/17 00:00:00,
4,AH7381,0,0,1212,11,0,11212000011,121200011,3600, ,N,2ND,ST, ,P,FEBCO RP,0.75,BLDG. Z  6TH FLOOR,COVIDIEN,,3600,N 2ND ST,63147,10/06/13 00:00:00,1212,2,1,1,2,1,64,15,4,4,1267,2,1267.1005,338,396,E,,09/21/17 00:00:00,
5,9809281,5,0,6466,45,0,16466000045,646600045,111, , ,STADIUM PLAZA, , ,S,FEBCO 850 DC,6,BASEMENT AT N.E. CORNER,INTERNATIONAL BOWLING,,111,STADIUM PLAZA,63102,01/21/08 00:00:00,6465.0081,7,4,3,7,10,35,9,1,4,1256,3,1256.1081,261,993,O,,09/21/17 00:00:00,
6,121061,0,0,3633,70,0,13633000070,363300070,3843, , ,GARFIELD,AV, ,S,AMES DBL. CHECK,6,"SPRINKLER ROOM S,E, CORNER",ST. LOUIS PAPER & BOX,,3843,GARFIELD,63113,08/02/13 00:00:00,3633,4,10,2,5,7,59,13,26,4,1114,2,1114.2009,309,141,O,,09/21/17 00:00:00,
7,40357,0,0,4466,50,0,14466000050,446600050,3044, , ,LAMBDIN,AV, ,S,WATTS 709,6,WEST SIDE OF SHIPPING OFFICE,COURION INDUSTRIES,,3044,LAMBDIN AVE,63115,05/03/13 00:00:00,4466,4,2,2,4,4,56,13,34,6,1103,4,1103.4002,310,191,E,,09/21/17 00:00:00,
8,B9442,1,0,4350,80,0,14350000080,435000080,1, , ,LINCOLN,WAY, ,P,FEBCO DOUBLE CHECK,10,RECEIVING OFF SIEMERS AVENUE,LINCOLN INDUSTRIAL,LONNIE WILLMAN,1,LINCOLN WAY,63120,04/07/12 00:00:00,4347,22,3,2,22,11,70,17,66,6,1269,3,1071.3006,340,1651,O,,09/21/17 00:00:00,
9,195661,1,0,4350,80,0,14350000080,435000080,1, , ,LINCOLN,WAY, ,P,WATTS  909,1,BOILER ROOM CEILING,LINCOLN INDUSTRIAL,BILL KASTLER,1,LINCOLN WAY,63120,04/07/12 00:00:00,4347,22,3,2,22,11,70,17,66,6,1269,3,1071.3006,340,1651,O,,09/21/17 00:00:00,
10,C7728,1,0,4350,80,0,14350000080,435000080,1, , ,LINCOLN,WAY, ,S,FEBCO DOUBLE CHECK,8,WATER SERVICE METER AT GUARD,LINCOLN INDUSTRIAL,BILL KASTLER,1,LINCOLN WAY,63120,04/07/13 00:00:00,4347,22,3,2,22,11,70,17,66,6,1269,3,1071.3006,340,1651,O,,09/21/17 00:00:00,
