StrucType,Descr
1,1 or 2 Family
2,Multi Family
3,Hotel
4,Boarding House
5,Rooming House
6,Other
7,Amusement
8,Religious
9,Hospital
10,School
11,Day Care Fac.
12,Day Nursery
13,Nursing Home
14,Home for Aged
15,Parking Station
16,Auto Repair Shop
17,Auto Body Shop
18,Service Station
19,Industrial
20,Commercial
21,Floating Structure
22,Fence
23,Garage
24,Pool
25,Retaining Wall
26,Sprinkler System
27,Tank
28,Awning
29,Bridge
30,Fire Escape
31,Marquee
32,Service Stairs
33,Sign
34,Other
35,Fire Alarm System
36,Porch/Deck
