CntrlType,CntrlNum,PrclErr,AddrAdjusted,CancelType,CityBlock,Parcel,OwnerCode,Handle,Parcel9,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,CancelDate,OwnerName,OccName,BillCO,BillAddr,BillCity,BillState,BillZIP,GeoCityBLockPart,Ward10,Precinct10,InspArea10,Ward00,Precinct02,Nbrhd,CDADist,CDASubDist,PoliceDist,CensTract10,CensGroup10,CensBlock00,AsrNbrhd,NLC,Parity,TmpCityBlock,TmpParcel,FirstDate,LastDate,UpDateGeo
XM,2927071,0,0,,4846,10,0,14846000010,484600010,826, , ,UNION,BLVD, ,,PILGRIM CONGREGATIONAL CHU,PILGRIM CONGREGATIONAL CHU,,826 UNION BLVD,ST. LOUIS,MO,63108.0000,4846,26,1,1,18,11,51,12,36,5,1122,3,1122.3002,238,18,E,4846,10,12/15/92 00:00:00,09/21/17 00:00:00,
XM,2213346,1,0,,59,30,0,10059000030,5900030,200, ,S,LEONOR K SULLIVAN,BLVD, ,,,,,200 S LEONOR K SULLIVAN BLVD,ST. LOUIS,MO,63102.0000,59.0083,7,4,3,7,10,35,9,1,4,1256,2,1256.3001,260,1689,E,59,9504,12/15/92 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,2077191,1,0,,59,30,0,10059000030,5900030,400, ,N,LEONOR K SULLIVAN,BLVD, ,,RIVERFRONT ENTERTAINMENT CTR,RIVERFRONT ENTERTAINMENT CTR,,400 N LEONOR K SULLIVAN BLVD,ST. LOUIS,MO,63102.0000,59.0083,7,4,3,7,10,35,9,1,4,1256,2,1256.3001,260,1688,E,59,9002,12/15/92 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,1341537,1,0,,59,30,0,10059000030,5900030,100, ,S,LEONOR K SULLIVAN,BLVD, ,,ROBERT E LEE,ROBERT E LEE,,100 S LEONOR K SULLIVAN BLVD,ST. LOUIS,MO,63102.0000,59.0083,7,4,3,7,10,35,9,1,4,1256,2,1256.3001,260,1689,E,59,9005,12/15/92 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,1341480,1,0,,1,40,0,10001000040,100040,611, ,S,LEONOR K SULLIVAN,BLVD, ,,WHARF STREET DEPOT,PALACE CAR LOUNGE,,00611 L K SULLIVAN DR,ST. LOUIS,MO,63102.0000,1.0085,7,6,3,7,12,35,9,2,4,1274,1,1222.1001,266,1689,O,1,40,01/27/93 00:00:00,09/21/17 00:00:00,
XM,1268805,1,0,,59,30,0,10059000030,5900030,322, ,S,LEONOR K SULLIVAN,BLVD, ,,MCDONALDS RESTAURANT,MCDONALDS RESTAURANT,,322 S LEONOR K SULLIVAN BLVD,ST. LOUIS,MO,63102.0000,59.0083,7,4,3,7,10,35,9,1,4,1256,2,1256.3001,260,1689,E,59,9001,12/15/92 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,893412,19,0,,853,20,0,10853000020,85300020,700, ,S,LEONOR K SULLIVAN,BLVD, ,,GOLDENROD SHOWBOAT,21 FLOATING GOLDENROD SHOWBOAT,,00400 N WHARF,ST. LOUIS,MO,63102.0000,853.0083,7,6,3,7,12,35,9,2,4,1274,1,1222.1,266,1689,E,853,9001,01/27/93 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,560944,0,0,,835,35,7,10835000035,83500035,1214, , ,WASHINGTON,AV, ,,REUM DESIGN,REUM DESIGN,MOSSA CENTER,1214 WASHINGTON AV,ST. LOUIS,MO,63102.0000,835,5,7,3,5,3,36,9,1,4,1255,1,1255.1036,262,3,E,835,35,12/15/92 00:00:00,09/21/17 00:00:00,
XM,72104,2,0,,195,21,0,10195000021,19500021,900, , ,WALNUT,ST, ,,SATELLITE BUSINESS SYSTEM,SATELLITE BUSINESS SYSTEM,,900 WALNUT ST,ST. LOUIS,MO,63102.0000,195,7,4,3,7,10,35,9,1,4,1256,3,1256.1083,261,460,E,195,21,12/15/92 00:00:00,09/21/17 00:00:00,
XM,71731,0,0,,1714,45,0,11714000045,171400045,220, ,S,JEFFERSON,AV, ,,STATE OF MISSOURI,STATE OF MISSOURI,,220 SOUTH JEFFERSON,ST. LOUIS,MO,63103.0000,1714,6,5,3,6,10,36,10,3,4,1274,1,1222.3004,254,48,E,1714,45,03/14/96 00:00:00,09/21/17 00:00:00,
XM,10838,0,0,,1059,15,0,11059000015,105900015,3545, , ,LINDELL,BLVD, ,,ST.LOUIS UNIVERSITY,,,3545 LINDELL,ST.LOUIS,MO,0.0000,1059,19,5,1,19,9,77,10,9,4,1211,1,1211.3021,255,31,O,1059,15,10/05/07 00:00:00,09/21/17 00:00:00,
XM,10837,1,0,,2022,10,0,12022000010,202200010,5656, , ,LINDELL,BLVD, ,05/29/07 00:00:00,SAME,MISSSOURI HISTORICAL SOCIETY,,5656 LINDELL,ST.LOUIS,MO,0.0000,2022.0005,28,3,2,28,11,82,11,82,2,1121,3,1121.2007,206,31,E,2022,9016,05/29/07 00:00:00,09/21/17 00:00:00,01/17/17 00:00:00
XM,10836,1,0,,1949,375,0,11949000375,194900375,3101, , ,LACLEDE,AV, ,,HARRIS STOWE STATE COLLEGE,HARRIS STOWE STATE COLLEGE,,3101 LACLEDE,ST. LOUIS,MO,0.0000,1949.0086,19,5,1,6,10,37,10,3,4,1211,1,1211.2003,254,54,O,1949,375,08/19/04 00:00:00,09/21/17 00:00:00,
XM,10835,0,0,,2243,10,0,12243000010,224300010,3026, , ,LACLEDE,AV, ,,HARRIS STOWE STATE COLLEGE,HARRIS STOWE STATE COLLEGE,,3026 LACLEDE,ST. LOUIS,MO,0.0000,2243,6,5,3,6,10,37,10,3,4,1184,1,1184.1002,254,54,E,2243,10,08/19/04 00:00:00,09/21/17 00:00:00,
